,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.5,Blue,sejuani,sett,zoe,elise,renekton,jarvaniv,reksai,varus,nautilus,senna,rumble,tahmkench,gangplank,thresh,mordekaiser,kassadin,ornn,braum
1,10.5,Blue,sejuani,sett,zoe,elise,renekton,senna,reksai,varus,jarvaniv,nautilus,aatrox,azir,galio,leblanc,mordekaiser,gangplank,rumble,sylas
2,10.5,Red,sejuani,sett,renekton,olaf,zoe,senna,reksai,varus,elise,pantheon,tahmkench,braum,aatrox,thresh,mordekaiser,diana,gangplank,nautilus
3,10.5,Blue,leblanc,aphelios,sejuani,olaf,sett,renekton,jarvaniv,ornn,elise,varus,sylas,rumble,pantheon,kassadin,neeko,leona,ziggs,nautilus
4,10.5,Red,pantheon,aphelios,olaf,sejuani,varus,senna,missfortune,renekton,jarvaniv,tahmkench,leblanc,leesin,ornn,elise,zoe,aatrox,ekko,gragas
5,10.5,Red,pantheon,aphelios,sett,aatrox,renekton,varus,jarvaniv,thresh,blitzcrank,leesin,kassadin,mordekaiser,fiora,rumble,ornn,camille,leblanc,lissandra
6,10.5,Red,pantheon,aphelios,thresh,aatrox,sett,renekton,jarvaniv,varus,kalista,sejuani,braum,rumble,leona,azir,nautilus,kassadin,taric,cassiopeia
7,10.5,Blue,jarvaniv,kalista,sejuani,aphelios,missfortune,varus,rakan,xayah,braum,nidalee,ornn,elise,lucian,gragas,leesin,jayce,rumble,zoe
8,10.5,Blue,sejuani,kalista,jarvaniv,aphelios,missfortune,varus,rakan,xayah,caitlyn,morgana,rumble,elise,nidalee,gragas,ekko,leesin,ornn,talon
9,10.5,Red,leblanc,renekton,azir,sett,zoe,aatrox,jarvaniv,maokai,ekko,pantheon,varus,corki,kalista,syndra,rumble,kaisa,nautilus,leona
10,10.5,Red,leblanc,renekton,zoe,aphelios,senna,kalista,jarvaniv,varus,ornn,thresh,pantheon,braum,sylas,tahmkench,alistar,leesin,vladimir,maokai
