,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
37,10.6,Red,olaf,senna,varus,sett,trundle,aphelios,kalista,taric,braum,jarvaniv,sylas,nocturne,akali,kassadin,gragas,azir,jayce,qiyana
38,10.6,Red,yuumi,elise,senna,kalista,trundle,aphelios,sett,taric,jarvaniv,leblanc,gnar,kassadin,morgana,sylas,zoe,nautilus,ornn,sejuani
39,10.6,Blue,elise,yuumi,sylas,aphelios,jayce,kalista,sett,varus,gnar,taric,kassadin,leesin,lissandra,akali,trundle,gragas,zoe,braum
40,10.6,Red,sett,aphelios,varus,taric,senna,trundle,jarvaniv,missfortune,kaisa,nautilus,zoe,leona,ornn,braum,alistar,irelia,mordekaiser,rumble
41,10.6,Red,irelia,sett,taric,senna,leblanc,varus,missfortune,trundle,azir,nautilus,nocturne,mordekaiser,jarvaniv,ornn,tahmkench,olaf,rumble,aatrox
42,10.6,Red,sett,aphelios,varus,taric,senna,kalista,azir,trundle,jarvaniv,zoe,illaoi,nautilus,zilean,aatrox,ornn,rumble,thresh,leona
43,10.6,Red,sylas,sett,jayce,aphelios,kalista,varus,senna,trundle,azir,jarvaniv,thresh,leblanc,rumble,kassadin,corki,ornn,taric,gangplank
44,10.6,Blue,leblanc,aphelios,varus,kalista,olaf,senna,jarvaniv,missfortune,azir,trundle,maokai,taric,tahmkench,thresh,nautilus,jayce,sion,rumble
45,10.6,Blue,jarvaniv,kalista,varus,aphelios,trundle,senna,ezreal,sejuani,olaf,ornn,volibear,zilean,zoe,akali,renekton,leblanc,missfortune,galio
46,10.6,Red,olaf,aphelios,lucian,senna,aatrox,varus,kalista,zoe,azir,jarvaniv,sylas,taric,akali,thresh,nocturne,tahmkench,vladimir,pyke
47,10.6,Blue,yuumi,kalista,rumble,aphelios,trundle,senna,ornn,sett,azir,tahmkench,sylas,leblanc,aatrox,corki,brand,akali,jarvaniv,kassadin
48,10.6,Red,gnar,aphelios,leblanc,senna,kalista,sett,aatrox,trundle,azir,missfortune,yuumi,ezreal,morgana,thresh,rakan,jarvaniv,taric,xayah
49,10.6,Red,yuumi,kalista,sett,zoe,rumble,aphelios,senna,trundle,gragas,tahmkench,leblanc,ornn,jayce,maokai,nautilus,aatrox,akali,kennen
50,10.6,Blue,senna,aphelios,sett,trundle,varus,jarvaniv,ezreal,olaf,missfortune,yuumi,zilean,galio,illaoi,gangplank,leblanc,ornn,syndra,sylas
51,10.6,Blue,illaoi,senna,irelia,aphelios,varus,kalista,taric,trundle,elise,thresh,renekton,leblanc,pantheon,zoe,ornn,azir,gangplank,ekko
52,10.6,Blue,senna,aphelios,varus,illaoi,sett,trundle,ezreal,olaf,kaisa,nautilus,zilean,zoe,mordekaiser,galio,aatrox,leblanc,ornn,lissandra
53,10.6,Blue,elise,leblanc,varus,azir,trundle,aphelios,kalista,syndra,jarvaniv,thresh,jayce,leesin,rumble,sylas,olaf,kennen,zoe,kassadin
