,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
100,10.6,Red,elise,aphelios,senna,poppy,thresh,jarvaniv,aatrox,varus,missfortune,ornn,rumble,kassadin,yuumi,leblanc,leesin,azir,nautilus,corki
101,10.6,Blue,thresh,aphelios,wukong,kalista,sett,varus,senna,tahmkench,jarvaniv,yuumi,rumble,leblanc,vladimir,zoe,ornn,mordekaiser,syndra,azir
102,10.6,Blue,irelia,aphelios,varus,senna,renekton,kalista,jarvaniv,missfortune,leesin,wukong,thresh,mordekaiser,taric,rumble,malphite,alistar,leblanc,galio
103,10.6,Blue,thresh,aphelios,sett,renekton,tahmkench,kalista,ornn,senna,irelia,taric,sejuani,olaf,elise,leesin,maokai,gragas,vladimir,graves
104,10.6,Blue,olaf,aphelios,wukong,taric,varus,kalista,missfortune,renekton,nautilus,ornn,jarvaniv,sylas,leblanc,kassadin,sejuani,azir,trundle,akali
105,10.6,Blue,zoe,aphelios,jarvaniv,olaf,taric,varus,leesin,missfortune,tahmkench,wukong,kassadin,mordekaiser,qiyana,nautilus,bard,sejuani,sylas,maokai
106,10.6,Blue,olaf,aphelios,renekton,zoe,varus,kalista,senna,tahmkench,leesin,taric,wukong,elise,azir,gragas,reksai,mordekaiser,syndra,sylas
107,10.6,Red,irelia,leblanc,renekton,sett,kalista,varus,jarvaniv,missfortune,leesin,rumble,blitzcrank,kassadin,tahmkench,zoe,thresh,nautilus,wukong,sylas
108,10.6,Red,irelia,leblanc,zoe,sett,senna,varus,jarvaniv,kalista,renekton,tahmkench,gragas,rumble,elise,wukong,mordekaiser,sejuani,syndra,kassadin
109,10.6,Red,kalista,aphelios,leblanc,renekton,sett,rumble,neeko,varus,missfortune,nautilus,ornn,thresh,elise,vayne,braum,leesin,mordekaiser,aatrox
110,10.6,Red,kalista,aphelios,leblanc,renekton,sett,rumble,neeko,varus,missfortune,nautilus,ornn,aatrox,elise,trundle,leesin,mordekaiser,olaf,vayne
111,10.6,Blue,kalista,aphelios,leblanc,renekton,sett,rumble,jarvaniv,varus,missfortune,reksai,wukong,neeko,nautilus,aatrox,orianna,ornn,rakan,sylas
112,10.6,Blue,poppy,sejuani,yuumi,elise,gangplank,kalista,thresh,trundle,ornn,taric,rumble,kassadin,olaf,azir,maokai,gragas,irelia,zoe
113,10.6,Blue,poppy,sejuani,senna,elise,yuumi,kalista,aphelios,trundle,jarvaniv,taric,rumble,kassadin,aatrox,zoe,ornn,azir,mordekaiser,corki
114,10.6,Red,poppy,sejuani,senna,elise,yuumi,aphelios,jarvaniv,kalista,reksai,taric,aatrox,rumble,sylas,lissandra,leona,leblanc,sett,kassadin
115,10.6,Red,kindred,aphelios,renekton,kalista,senna,varus,sett,syndra,thresh,wukong,olaf,irelia,sejuani,leona,blitzcrank,jarvaniv,rumble,lucian
116,10.6,Blue,pantheon,aphelios,senna,renekton,sett,kalista,varus,wukong,mordekaiser,taric,leesin,elise,sylas,olaf,sejuani,leblanc,trundle,kassadin
117,10.6,Blue,rumble,aphelios,jarvaniv,zoe,sett,renekton,olaf,varus,missfortune,syndra,reksai,ornn,leesin,thresh,wukong,elise,nautilus,leona
118,10.6,Blue,rumble,aphelios,jarvaniv,zoe,sett,renekton,olaf,varus,missfortune,syndra,reksai,thresh,leesin,ornn,wukong,elise,nautilus,leona
119,10.6,Red,kalista,sett,rumble,maokai,lucian,senna,aphelios,leesin,nautilus,reksai,syndra,neeko,zoe,kennen,leblanc,lissandra,renekton,quinn
120,10.6,Blue,leesin,kalista,sett,rumble,varus,senna,aphelios,jarvaniv,neeko,nidalee,tahmkench,leblanc,taric,syndra,maokai,aatrox,braum,kassadin
121,10.6,Blue,elise,aphelios,aatrox,wukong,kassadin,sett,nautilus,renekton,sejuani,varus,irelia,olaf,zoe,trundle,nidalee,azir,braum,neeko
122,10.6,Red,wukong,aatrox,zoe,elise,mordekaiser,renekton,jarvaniv,missfortune,thresh,varus,nidalee,ornn,sejuani,sett,maokai,leblanc,reksai,lissandra
123,10.6,Red,elise,aphelios,sett,leesin,olaf,varus,jarvaniv,missfortune,renekton,trundle,kassadin,zoe,azir,lissandra,rumble,leblanc,nautilus,leona
124,10.6,Red,kassadin,sett,ornn,elise,tahmkench,aphelios,jarvaniv,kalista,leesin,renekton,ekko,thresh,leblanc,taric,syndra,nautilus,zoe,leona
125,10.6,Red,elise,aphelios,sett,renekton,olaf,varus,jarvaniv,missfortune,leesin,tahmkench,kassadin,zoe,aatrox,mordekaiser,ornn,maokai,syndra,ekko
126,10.6,Red,elise,aphelios,olaf,varus,senna,sett,missfortune,renekton,jarvaniv,kaisa,rumble,thresh,zoe,nautilus,kindred,aatrox,leblanc,braum
127,10.6,Blue,leblanc,aphelios,zoe,elise,varus,senna,azir,jarvaniv,corki,tahmkench,olaf,nautilus,mordekaiser,leona,yuumi,reksai,sett,poppy
128,10.6,Blue,sett,senna,thresh,aphelios,elise,renekton,jarvaniv,varus,kalista,taric,azir,ornn,zoe,braum,mordekaiser,olaf,sylas,nautilus
129,10.6,Blue,senna,aphelios,elise,sett,azir,renekton,sejuani,varus,jarvaniv,kalista,thresh,zoe,galio,corki,aatrox,leona,rumble,mordekaiser
130,10.6,Blue,sett,senna,elise,wukong,thresh,aphelios,jarvaniv,missfortune,braum,renekton,corki,rumble,leblanc,diana,azir,sejuani,zoe,leona
131,10.6,Blue,kalista,jarvaniv,leblanc,rumble,leesin,sett,nautilus,renekton,braum,varus,quinn,elise,reksai,aphelios,olaf,trundle,zoe,kassadin
132,10.6,Red,jarvaniv,kalista,rumble,sett,syndra,varus,nautilus,senna,leblanc,leesin,tahmkench,kassadin,thresh,lissandra,sylas,aatrox,leona,wukong
133,10.6,Blue,azir,senna,jarvaniv,taric,thresh,varus,kalista,sett,olaf,tahmkench,kassadin,trundle,neeko,rumble,leesin,leblanc,wukong,corki
134,10.6,Red,jarvaniv,senna,thresh,taric,varus,olaf,missfortune,sett,kalista,renekton,kassadin,trundle,leblanc,maokai,reksai,corki,nautilus,ornn
135,10.6,Blue,jarvaniv,senna,thresh,taric,varus,olaf,missfortune,sett,kalista,renekton,neeko,azir,nautilus,leona,ornn,braum,kassadin,rumble
136,10.6,Red,kassadin,aphelios,olaf,pantheon,renekton,jarvaniv,aatrox,varus,missfortune,nautilus,mordekaiser,nidalee,qiyana,leblanc,reksai,sett,zoe,diana
137,10.6,Blue,pantheon,aphelios,wukong,kassadin,mordekaiser,varus,aatrox,missfortune,jarvaniv,sett,leblanc,thresh,rumble,olaf,elise,diana,nautilus,taric
138,10.5,Red,kalista,aphelios,neeko,elise,rumble,missfortune,leesin,senna,olaf,zoe,renekton,tahmkench,yuumi,nautilus,taric,karma,ornn,aatrox
139,10.5,Blue,zoe,aphelios,leesin,kalista,elise,varus,jarvaniv,rumble,ornn,thresh,nidalee,aatrox,reksai,nautilus,blitzcrank,neeko,qiyana,renekton
140,10.5,Red,zoe,senna,renekton,aphelios,sejuani,varus,jarvaniv,sett,ornn,thresh,leesin,mordekaiser,irelia,kassadin,nautilus,azir,reksai,corki
141,10.5,Red,renekton,senna,zoe,aphelios,sejuani,varus,gragas,sett,ornn,thresh,azir,mordekaiser,leblanc,braum,kaisa,elise,pantheon,nautilus
142,10.5,Blue,zoe,senna,renekton,aphelios,sejuani,varus,reksai,sett,jarvaniv,ornn,braum,mordekaiser,lissandra,kassadin,azir,corki,thresh,nautilus
143,10.5,Blue,irelia,aphelios,sejuani,kalista,varus,ornn,missfortune,sett,caitlyn,thresh,leesin,kassadin,leblanc,gragas,mordekaiser,olaf,syndra,nidalee
144,10.5,Blue,kalista,irelia,senna,aphelios,leblanc,varus,sett,xayah,renekton,tahmkench,kassadin,jarvaniv,syndra,leesin,zoe,azir,gragas,sylas
145,10.5,Blue,irelia,aphelios,sejuani,senna,varus,renekton,jarvaniv,missfortune,kalista,taric,sylas,kassadin,elise,yuumi,alistar,leblanc,leesin,lissandra
146,10.5,Blue,zoe,aphelios,varus,senna,renekton,missfortune,jarvaniv,kalista,leesin,leona,sylas,taric,irelia,thresh,alistar,aatrox,rumble,qiyana
147,10.5,Red,rumble,zoe,renekton,aphelios,varus,kalista,kaisa,sett,leesin,nautilus,leblanc,kled,syndra,pantheon,leona,aatrox,sylas,fiora
148,10.5,Blue,zoe,aphelios,leblanc,senna,sett,olaf,missfortune,trundle,kalista,taric,aatrox,azir,renekton,kassadin,bard,neeko,ornn,syndra
149,10.5,Red,kalista,aphelios,elise,sett,varus,missfortune,kaisa,olaf,nautilus,trundle,zoe,leblanc,mordekaiser,renekton,ornn,aatrox,azir,kassadin
150,10.5,Red,zoe,aphelios,pantheon,elise,azir,renekton,olaf,sett,kalista,taric,qiyana,kaisa,lucian,missfortune,leblanc,reksai,sylas,varus
