,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.5,Blue,elise,aphelios,sett,kalista,sylas,ornn,trundle,varus,jarvaniv,missfortune,leblanc,zoe,taric,azir,ekko,rumble,yuumi,jax
1,10.5,Blue,azir,aphelios,varus,senna,ornn,sett,nautilus,olaf,kaisa,renekton,elise,leblanc,sejuani,kennen,gnar,syndra,trundle,taric
2,10.5,Blue,elise,kalista,sett,aphelios,sylas,ornn,jarvaniv,varus,ezreal,trundle,azir,zoe,leblanc,rumble,ekko,galio,nautilus,nan
3,10.5,Red,irelia,sett,varus,senna,kogmaw,kalista,jarvaniv,missfortune,aatrox,taric,leblanc,volibear,zoe,ornn,alistar,ekko,trundle,zilean
4,10.5,Blue,sett,aphelios,varus,kalista,tahmkench,jarvaniv,nautilus,sejuani,braum,ezreal,irelia,kaisa,leblanc,missfortune,caitlyn,ornn,zoe,aatrox
5,10.5,Blue,yuumi,kalista,sett,aphelios,senna,azir,sylas,varus,ornn,trundle,kaisa,yasuo,sivir,morgana,ezreal,rakan,xayah,tahmkench
6,10.5,Blue,leblanc,sett,kalista,yuumi,jarvaniv,aphelios,cassiopeia,ornn,azir,trundle,taric,zoe,gangplank,thresh,nautilus,morgana,sylas,pantheon
7,10.5,Blue,yuumi,kalista,sett,trundle,senna,ornn,jarvaniv,varus,ezreal,olaf,leblanc,gangplank,tahmkench,zoe,thresh,azir,nautilus,kaisa
8,10.5,Blue,azir,zoe,varus,aphelios,ornn,kalista,rumble,sett,aatrox,taric,jarvaniv,irelia,olaf,elise,leesin,lucian,sejuani,leblanc
9,10.5,Red,zoe,senna,olaf,aphelios,kalista,sett,ornn,varus,kaisa,rumble,reksai,elise,azir,kindred,jarvaniv,aatrox,leesin,leblanc
10,10.5,Blue,elise,azir,ornn,senna,sett,aphelios,jarvaniv,kalista,reksai,zoe,morgana,rumble,braum,galio,renekton,akali,tahmkench,kennen
11,10.5,Red,azir,aphelios,varus,kalista,ornn,senna,jarvaniv,sett,renekton,tahmkench,gragas,ezreal,karthus,kaisa,missfortune,rumble,sejuani,zilean
12,10.5,Red,sett,aphelios,leblanc,senna,varus,ornn,missfortune,trundle,kaisa,nautilus,irelia,braum,azir,taric,leona,kindred,zoe,syndra
13,10.5,Blue,elise,senna,varus,sett,ornn,kalista,jarvaniv,lulu,sylas,taric,leblanc,ezreal,pantheon,xayah,kogmaw,akali,renekton,illaoi
14,10.5,Red,azir,zoe,varus,aphelios,kalista,sett,cassiopeia,ornn,olaf,yuumi,ezreal,volibear,sivir,leblanc,nautilus,neeko,xayah,lucian
15,10.5,Blue,zoe,aphelios,olaf,senna,varus,kalista,ornn,sett,leblanc,taric,renekton,kindred,jarvaniv,morgana,braum,aatrox,trundle,gragas
16,10.5,Blue,rumble,aphelios,varus,senna,sett,kalista,jarvaniv,ornn,aatrox,taric,leblanc,kaisa,zoe,xayah,yuumi,gragas,yasuo,ezreal
17,10.5,Red,elise,aphelios,varus,kalista,ornn,sett,aatrox,jarvaniv,kaisa,sejuani,irelia,missfortune,leblanc,ezreal,tahmkench,lucian,taliyah,vayne
18,10.5,Red,ornn,aphelios,varus,senna,leblanc,kalista,jarvaniv,sett,azir,taric,leesin,zoe,reksai,kennen,rumble,aatrox,elise,lucian
19,10.5,Blue,sett,olaf,sylas,jarvaniv,senna,aphelios,ornn,varus,taric,trundle,leblanc,yuumi,azir,tahmkench,brand,jayce,zoe,maokai
20,10.5,Red,olaf,aphelios,ornn,sett,kalista,varus,ezreal,jarvaniv,sejuani,yuumi,sivir,kennen,missfortune,quinn,rumble,renekton,sylas,gnar
21,10.5,Red,elise,aphelios,ezreal,senna,ornn,kalista,jarvaniv,sett,sylas,taric,renekton,nautilus,pantheon,azir,akali,jayce,zoe,leblanc
22,10.5,Blue,yuumi,aphelios,leblanc,senna,ornn,sett,elise,kalista,azir,jarvaniv,varus,renekton,morgana,aatrox,missfortune,ezreal,tahmkench,janna
23,10.5,Red,sett,aphelios,leblanc,senna,kalista,ornn,missfortune,sylas,kaisa,nautilus,kindred,braum,qiyana,renekton,azir,elise,irelia,taric
24,10.5,Blue,volibear,sett,varus,senna,olaf,kalista,lulu,reksai,jarvaniv,rumble,leblanc,missfortune,zoe,xayah,ezreal,neeko,taric,aatrox
25,10.5,Blue,elise,aphelios,ornn,senna,varus,sett,jarvaniv,rumble,kaisa,sejuani,nautilus,leblanc,morgana,yuumi,alistar,azir,braum,zoe
26,10.5,Red,elise,aphelios,varus,kalista,ornn,sett,aatrox,jarvaniv,pantheon,sejuani,kennen,nautilus,kaisa,thresh,missfortune,lucian,yuumi,karma
27,10.5,Blue,olaf,aphelios,zoe,kalista,ornn,varus,kaisa,nautilus,senna,tahmkench,gragas,leblanc,poppy,quinn,renekton,gangplank,sejuani,pyke
28,10.5,Red,varus,zoe,sett,olaf,kalista,aphelios,elise,ornn,aatrox,leesin,leblanc,renekton,morgana,pantheon,nautilus,rumble,thresh,camille
29,10.5,Red,irelia,aphelios,renekton,kalista,kaisa,sett,ornn,varus,ezreal,rumble,jarvaniv,pyke,gragas,nautilus,olaf,leblanc,leesin,lulu
30,10.5,Blue,zoe,aphelios,sylas,senna,sett,kalista,kaisa,ornn,olaf,taric,azir,nautilus,kennen,leblanc,rakan,aatrox,rumble,akali
