,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
50,chance,15,5,5,33.3,0.47,3.6,8.53,2.5,41.33,1.26,7500.0,228.0,0.685,0.036000000000000004,0.134,6
51,cult,6,3,3,50.0,3.33,4.17,4.67,1.92,257.0,7.53,12700.0,373.0,0.593,0.247,0.215,3
52,fenfen,5,2,2,40.0,2.2,3.2,5.2,2.31,184.2,6.29,10000.0,340.0,0.649,0.193,0.19399999999999998,3
53,lies,3,1,1,33.3,0.33,3.67,10.33,2.91,201.67,7.13,,,1.0,0.031,,2
54,yuuki,1,0,0,0.0,0.0,5.0,7.0,1.4,247.0,7.58,,,0.778,0.0,,1
55,maple,41,15,15,36.6,3.15,2.02,4.73,3.89,255.9,7.92,,,0.6990000000000001,0.27899999999999997,,11
56,xx,41,15,15,36.6,2.0,3.0,5.41,2.47,158.73,4.91,,,0.6579999999999999,0.177,,11
57,duan,39,15,15,38.5,0.67,3.49,6.72,2.12,51.15,1.58,,,0.63,0.057,,10
58,flandre,33,12,12,36.4,2.3,3.39,5.0,2.15,260.58,7.89,,,0.644,0.203,,10
59,asura,25,11,11,44.0,3.72,2.84,5.84,3.37,261.92,7.79,13300.0,395.0,0.7759999999999999,0.302,0.233,7
60,light,16,4,4,25.0,2.56,2.56,3.38,2.32,290.38,9.59,,,0.617,0.266,,3
61,chenlun17,8,3,3,37.5,1.88,3.0,4.5,2.13,197.5,6.73,9900.0,338.0,0.58,0.17,0.203,4
62,iwandy,2,0,0,0.0,0.0,5.5,1.5,0.27,36.0,1.22,5800.0,195.0,0.6,0.0,0.131,2
63,cold,38,17,17,44.7,0.74,2.66,6.16,2.59,48.05,1.54,7400.0,236.0,0.662,0.071,0.136,11
64,curse,38,17,17,44.7,2.37,3.05,3.39,1.89,240.32,7.7,11700.0,376.0,0.5529999999999999,0.22699999999999998,0.217,9
65,h4cker,38,17,17,44.7,1.63,2.29,5.79,3.24,173.0,5.55,10000.0,321.0,0.7120000000000001,0.157,0.18600000000000003,7
66,icon,38,17,17,44.7,2.79,2.42,4.21,2.89,263.71,8.45,12100.0,386.0,0.672,0.268,0.223,17
67,smlz,38,17,17,44.7,2.89,2.13,3.97,3.22,277.13,8.88,12900.0,413.0,0.659,0.278,0.23800000000000002,9
68,ley,40,18,18,45.0,1.02,4.13,8.9,2.41,53.8,1.64,,,0.711,0.073,,14
69,zwuji,40,18,18,45.0,3.78,2.58,6.5,3.99,265.55,8.08,,,0.737,0.271,,9
70,ruby,31,14,14,45.2,2.71,3.35,5.9,2.57,230.35,7.1,11400.0,352.0,0.6559999999999999,0.20600000000000002,0.209,15
71,haro,26,12,12,46.2,4.46,2.88,6.08,3.65,184.23,5.5,,,0.759,0.321,,11
72,crazy,24,11,11,45.8,2.42,2.5,5.25,3.07,240.33,7.39,11800.0,363.0,0.59,0.18600000000000003,0.214,8
73,holder,14,6,6,42.9,2.43,3.29,7.79,3.11,219.57,6.43,11600.0,338.0,0.6809999999999999,0.162,0.204,6
74,weiyan,14,6,6,42.9,2.64,3.71,7.5,2.73,149.14,4.69,10000.0,316.0,0.721,0.188,0.185,6
75,wuming,7,3,3,42.9,3.0,3.71,9.43,3.35,240.14,6.64,12300.0,340.0,0.757,0.183,0.203,5
76,crazy,2,1,1,50.0,2.0,3.5,3.5,1.57,236.5,8.34,,,0.306,0.111,,1
77,wuming,2,1,1,50.0,6.0,3.5,9.5,4.43,188.0,6.63,,,0.861,0.33299999999999996,,2
78,betty,38,20,20,52.6,4.13,1.74,5.53,5.56,283.82,8.39,13900.0,412.0,0.73,0.312,0.23800000000000002,7
79,langx,38,20,20,52.6,2.55,2.11,5.68,3.91,270.58,8.0,12900.0,382.0,0.622,0.193,0.221,10
80,ming,38,20,20,52.6,0.74,2.53,8.58,3.69,60.89,1.8,8300.0,244.0,0.7040000000000001,0.055999999999999994,0.141,9
