,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
46,corejj,18,7,7,38.9,0.11,1.44,6.67,4.69,39.39,1.12,7700.0,219.0,0.7390000000000001,0.012,0.13,7
47,impact,18,7,7,38.9,1.89,1.89,3.39,2.79,252.72,7.17,12400.0,351.0,0.5760000000000001,0.20600000000000002,0.20800000000000002,8
48,jensen,18,7,7,38.9,2.5,1.5,4.06,4.37,314.17,8.92,13700.0,389.0,0.715,0.273,0.231,10
49,doublelift,15,5,5,33.3,3.0,1.87,3.13,3.29,355.8,10.18,15100.0,433.0,0.6809999999999999,0.33299999999999996,0.258,7
50,broxah,12,5,5,41.7,1.5,1.75,5.42,3.95,165.83,4.66,10300.0,290.0,0.7090000000000001,0.154,0.171,7
51,shernfire,6,2,2,33.3,1.5,2.5,4.83,2.53,163.5,4.74,10100.0,292.0,0.792,0.188,0.174,2
52,tactical,3,2,2,66.7,4.0,1.33,3.33,5.5,365.67,9.98,16700.0,456.0,0.733,0.4,0.265,2
53,biofrost,18,9,9,50.0,0.89,1.72,7.17,4.68,39.28,1.07,8300.0,226.0,0.6940000000000001,0.077,0.136,9
54,bjergsen,18,9,9,50.0,3.28,1.56,4.94,5.29,294.22,8.04,13600.0,373.0,0.708,0.282,0.22399999999999998,11
55,broken blade,18,9,9,50.0,2.83,2.06,5.0,3.81,259.44,7.09,13100.0,359.0,0.675,0.244,0.21600000000000003,11
56,dardoch,18,9,9,50.0,1.83,3.0,6.39,2.74,161.22,4.41,10400.0,285.0,0.708,0.158,0.172,8
57,kobbe,18,9,9,50.0,2.78,1.5,5.06,5.22,351.06,9.59,15300.0,418.0,0.675,0.239,0.251,7
